"codigo_ies_padre","Nivel de Formación","year","graduados","tipo","Metodología","desercion"
"2905","Universitaria","2018",0,"graduados",NA,NA
"2905","Universitaria","2019",0,"graduados",NA,NA
"2905","Universitaria","2020",0,"graduados",NA,NA
"2905","Universitaria","2021",34,"graduados",NA,NA
"2905","Universitaria","2022",13,"graduados",NA,NA
"2905","Universitaria","2023",34,"graduados",NA,NA
"2905","Especialización","2013",892,"graduados",NA,NA
"2905","Especialización","2014",1002,"graduados",NA,NA
"2905","Especialización","2015",1167,"graduados",NA,NA
"2905","Especialización","2016",1058,"graduados",NA,NA
"2905","Especialización","2017",979,"graduados",NA,NA
"2905","Especialización","2018",1039,"graduados",NA,NA
"2905","Especialización","2019",585,"graduados",NA,NA
"2905","Especialización","2020",545,"graduados",NA,NA
"2905","Especialización","2021",534,"graduados",NA,NA
"2905","Especialización","2022",276,"graduados",NA,NA
"2905","Especialización","2023",341,"graduados",NA,NA
"2905","Maestría","2013",0,"graduados",NA,NA
"2905","Maestría","2014",0,"graduados",NA,NA
"2905","Maestría","2015",0,"graduados",NA,NA
"2905","Maestría","2016",0,"graduados",NA,NA
"2905","Maestría","2017",0,"graduados",NA,NA
"2905","Maestría","2018",0,"graduados",NA,NA
"2905","Maestría","2019",0,"graduados",NA,NA
"2905","Maestría","2020",0,"graduados",NA,NA
"2905","Maestría","2021",0,"graduados",NA,NA
"2905","Maestría","2022",0,"graduados",NA,NA
"2905","Maestría","2023",0,"graduados",NA,NA
"2905","Doctorado","2013",0,"graduados",NA,NA
"2905","Doctorado","2014",0,"graduados",NA,NA
"2905","Doctorado","2015",0,"graduados",NA,NA
"2905","Doctorado","2016",0,"graduados",NA,NA
"2905","Doctorado","2017",0,"graduados",NA,NA
"2905","Doctorado","2018",0,"graduados",NA,NA
"2905","Doctorado","2019",0,"graduados",NA,NA
"2905","Doctorado","2020",0,"graduados",NA,NA
"2905","Doctorado","2021",0,"graduados",NA,NA
"2905","Doctorado","2022",0,"graduados",NA,NA
"2905","Doctorado","2023",0,"graduados",NA,NA
"2905","Total General","2013",979,"graduados",NA,NA
"2905","Total General","2014",1066,"graduados",NA,NA
"2905","Total General","2015",1177,"graduados",NA,NA
"2905","Total General","2016",1115,"graduados",NA,NA
"2905","Total General","2017",1065,"graduados",NA,NA
"2905","Total General","2018",1142,"graduados",NA,NA
"2905","Total General","2019",684,"graduados",NA,NA
"2905","Total General","2020",578,"graduados",NA,NA
"2905","Total General","2021",645,"graduados",NA,NA
"2905","Total General","2022",303,"graduados",NA,NA
"2905","Total General","2023",412,"graduados",NA,NA
"9934","Técnica Profesional","2013",0,"graduados",NA,NA
"9934","Técnica Profesional","2014",0,"graduados",NA,NA
"9934","Técnica Profesional","2015",0,"graduados",NA,NA
"9934","Técnica Profesional","2016",0,"graduados",NA,NA
"9934","Técnica Profesional","2017",0,"graduados",NA,NA
"9934","Técnica Profesional","2018",0,"graduados",NA,NA
"9934","Técnica Profesional","2019",0,"graduados",NA,NA
"9934","Técnica Profesional","2020",0,"graduados",NA,NA
"9934","Técnica Profesional","2021",0,"graduados",NA,NA
"9934","Técnica Profesional","2022",0,"graduados",NA,NA
"9934","Técnica Profesional","2023",0,"graduados",NA,NA
"9934","Tecnológica","2013",0,"graduados",NA,NA
"9934","Tecnológica","2014",0,"graduados",NA,NA
"9934","Tecnológica","2015",0,"graduados",NA,NA
"9934","Tecnológica","2016",0,"graduados",NA,NA
"9934","Tecnológica","2017",0,"graduados",NA,NA
"9934","Tecnológica","2018",0,"graduados",NA,NA
"9934","Tecnológica","2019",0,"graduados",NA,NA
"9934","Tecnológica","2020",0,"graduados",NA,NA
"9934","Tecnológica","2021",0,"graduados",NA,NA
"9934","Tecnológica","2022",0,"graduados",NA,NA
"9934","Tecnológica","2023",0,"graduados",NA,NA
"9934","Universitaria","2013",0,"graduados",NA,NA
"9934","Universitaria","2014",0,"graduados",NA,NA
"9934","Universitaria","2015",0,"graduados",NA,NA
"9934","Universitaria","2016",0,"graduados",NA,NA
"9934","Universitaria","2017",0,"graduados",NA,NA
"9934","Universitaria","2018",0,"graduados",NA,NA
"9934","Universitaria","2019",0,"graduados",NA,NA
"9934","Universitaria","2020",0,"graduados",NA,NA
"9934","Universitaria","2021",0,"graduados",NA,NA
"9934","Universitaria","2022",0,"graduados",NA,NA
"9934","Universitaria","2023",0,"graduados",NA,NA
"9934","Especialización","2013",0,"graduados",NA,NA
"9934","Especialización","2014",0,"graduados",NA,NA
"9934","Especialización","2015",0,"graduados",NA,NA
"9934","Especialización","2016",0,"graduados",NA,NA
"9934","Especialización","2017",0,"graduados",NA,NA
"9934","Especialización","2018",0,"graduados",NA,NA
"9934","Especialización","2019",0,"graduados",NA,NA
"9934","Especialización","2020",0,"graduados",NA,NA
"9934","Especialización","2021",0,"graduados",NA,NA
"9934","Especialización","2022",0,"graduados",NA,NA
"9934","Especialización","2023",0,"graduados",NA,NA
"9934","Maestría","2013",0,"graduados",NA,NA
"9934","Maestría","2014",0,"graduados",NA,NA
"9934","Maestría","2015",0,"graduados",NA,NA
"9934","Maestría","2016",0,"graduados",NA,NA
"9934","Maestría","2017",0,"graduados",NA,NA
"9934","Maestría","2018",0,"graduados",NA,NA
"9934","Maestría","2019",0,"graduados",NA,NA
"9934","Maestría","2020",0,"graduados",NA,NA
"9934","Maestría","2021",0,"graduados",NA,NA
"9934","Maestría","2022",0,"graduados",NA,NA
"9934","Maestría","2023",0,"graduados",NA,NA
"9934","Doctorado","2013",0,"graduados",NA,NA
"9934","Doctorado","2014",0,"graduados",NA,NA
"9934","Doctorado","2015",0,"graduados",NA,NA
"9934","Doctorado","2016",0,"graduados",NA,NA
"9934","Doctorado","2017",0,"graduados",NA,NA
"9934","Doctorado","2018",0,"graduados",NA,NA
"9934","Doctorado","2019",0,"graduados",NA,NA
"9934","Doctorado","2020",0,"graduados",NA,NA
"9934","Doctorado","2021",0,"graduados",NA,NA
"9934","Doctorado","2022",0,"graduados",NA,NA
"9934","Doctorado","2023",0,"graduados",NA,NA
"9934","Total General","2013",0,"graduados",NA,NA
"9934","Total General","2014",0,"graduados",NA,NA
"9934","Total General","2015",0,"graduados",NA,NA
"9934","Total General","2016",0,"graduados",NA,NA
"9934","Total General","2017",0,"graduados",NA,NA
"9934","Total General","2018",0,"graduados",NA,NA
"9934","Total General","2019",0,"graduados",NA,NA
"9934","Total General","2020",0,"graduados",NA,NA
"9934","Total General","2021",0,"graduados",NA,NA
"9934","Total General","2022",0,"graduados",NA,NA
"9934","Total General","2023",0,"graduados",NA,NA
"2704","Técnica Profesional","2013",0,"graduados",NA,NA
"2704","Técnica Profesional","2014",0,"graduados",NA,NA
