"codigo_ies_padre","Año","tipo_contrato","cantidad","tipo","Nivel de formacion","dedicacion_sexo"
"9934",2017,"Ocasional",0,"tipo_contrato",NA,NA
"9934",2017,"AD Honorem",0,"tipo_contrato",NA,NA
"9934",2017,"Sin Información",0,"tipo_contrato",NA,NA
"9934",2018,"Término Indefinido",0,"tipo_contrato",NA,NA
"9934",2018,"Término fijo",0,"tipo_contrato",NA,NA
"9934",2018,"Horas",0,"tipo_contrato",NA,NA
"9934",2018,"Ocasional",0,"tipo_contrato",NA,NA
"9934",2018,"AD Honorem",0,"tipo_contrato",NA,NA
"9934",2018,"Sin Información",0,"tipo_contrato",NA,NA
"9934",2019,"Término Indefinido",0,"tipo_contrato",NA,NA
"9934",2019,"Término fijo",8,"tipo_contrato",NA,NA
"9934",2019,"Horas",0,"tipo_contrato",NA,NA
"9934",2019,"Ocasional",0,"tipo_contrato",NA,NA
"9934",2019,"AD Honorem",0,"tipo_contrato",NA,NA
"9934",2019,"Sin Información",0,"tipo_contrato",NA,NA
"9934",2020,"Término Indefinido",3,"tipo_contrato",NA,NA
"9934",2020,"Término fijo",9,"tipo_contrato",NA,NA
"9934",2020,"Horas",0,"tipo_contrato",NA,NA
"9934",2020,"Ocasional",0,"tipo_contrato",NA,NA
"9934",2020,"AD Honorem",0,"tipo_contrato",NA,NA
"9934",2020,"Sin Información",0,"tipo_contrato",NA,NA
"9934",2021,"Término Indefinido",2,"tipo_contrato",NA,NA
"9934",2021,"Término fijo",9,"tipo_contrato",NA,NA
"9934",2021,"Horas",0,"tipo_contrato",NA,NA
"9934",2021,"Ocasional",0,"tipo_contrato",NA,NA
"9934",2021,"AD Honorem",0,"tipo_contrato",NA,NA
"9934",2021,"Sin Información",0,"tipo_contrato",NA,NA
"9934",2022,"Término Indefinido",3,"tipo_contrato",NA,NA
"9934",2022,"Término fijo",12,"tipo_contrato",NA,NA
"9934",2022,"Horas",0,"tipo_contrato",NA,NA
"9934",2022,"Ocasional",0,"tipo_contrato",NA,NA
"9934",2022,"AD Honorem",0,"tipo_contrato",NA,NA
"9934",2022,"Sin Información",0,"tipo_contrato",NA,NA
"9934",2023,"Término Indefinido",3,"tipo_contrato",NA,NA
"9934",2023,"Término fijo",0,"tipo_contrato",NA,NA
"9934",2023,"Horas",10,"tipo_contrato",NA,NA
"9934",2023,"Ocasional",0,"tipo_contrato",NA,NA
"9934",2023,"AD Honorem",0,"tipo_contrato",NA,NA
"9934",2023,"Sin Información",0,"tipo_contrato",NA,NA
"2704",2017,"Término Indefinido",29,"tipo_contrato",NA,NA
"2704",2017,"Término fijo",2,"tipo_contrato",NA,NA
"2704",2017,"Horas",172,"tipo_contrato",NA,NA
"2704",2017,"Ocasional",39,"tipo_contrato",NA,NA
"2704",2017,"AD Honorem",3,"tipo_contrato",NA,NA
"2704",2017,"Sin Información",NA,"tipo_contrato",NA,NA
"2704",2018,"Término Indefinido",31,"tipo_contrato",NA,NA
"2704",2018,"Término fijo",193,"tipo_contrato",NA,NA
"2704",2018,"Horas",8,"tipo_contrato",NA,NA
"2704",2018,"Ocasional",54,"tipo_contrato",NA,NA
"2704",2018,"AD Honorem",0,"tipo_contrato",NA,NA
"2704",2018,"Sin Información",NA,"tipo_contrato",NA,NA
"2704",2019,"Término Indefinido",34,"tipo_contrato",NA,NA
"2704",2019,"Término fijo",3,"tipo_contrato",NA,NA
"2704",2019,"Horas",208,"tipo_contrato",NA,NA
"2704",2019,"Ocasional",59,"tipo_contrato",NA,NA
"2704",2019,"AD Honorem",0,"tipo_contrato",NA,NA
"2704",2019,"Sin Información",NA,"tipo_contrato",NA,NA
"2704",2020,"Término Indefinido",28,"tipo_contrato",NA,NA
"2704",2020,"Término fijo",3,"tipo_contrato",NA,NA
"2704",2020,"Horas",209,"tipo_contrato",NA,NA
"2704",2020,"Ocasional",0,"tipo_contrato",NA,NA
"2704",2020,"AD Honorem",32,"tipo_contrato",NA,NA
"2704",2020,"Sin Información",NA,"tipo_contrato",NA,NA
"2704",2021,"Término Indefinido",29,"tipo_contrato",NA,NA
"2704",2021,"Término fijo",2,"tipo_contrato",NA,NA
"2704",2021,"Horas",219,"tipo_contrato",NA,NA
"2704",2021,"Ocasional",63,"tipo_contrato",NA,NA
"2704",2021,"AD Honorem",6,"tipo_contrato",NA,NA
"2704",2021,"Sin Información",NA,"tipo_contrato",NA,NA
"2704",2022,"Término Indefinido",31,"tipo_contrato",NA,NA
"2704",2022,"Término fijo",1,"tipo_contrato",NA,NA
"2704",2022,"Horas",220,"tipo_contrato",NA,NA
"2704",2022,"Ocasional",112,"tipo_contrato",NA,NA
"2704",2022,"AD Honorem",0,"tipo_contrato",NA,NA
"2704",2022,"Sin Información",NA,"tipo_contrato",NA,NA
"2704",2023,"Término Indefinido",38,"tipo_contrato",NA,NA
"2704",2023,"Término fijo",0,"tipo_contrato",NA,NA
"2704",2023,"Horas",199,"tipo_contrato",NA,NA
"2704",2023,"Ocasional",69,"tipo_contrato",NA,NA
"2704",2023,"AD Honorem",0,"tipo_contrato",NA,NA
"2704",2023,"Sin Información",NA,"tipo_contrato",NA,NA
"4112",2017,"Término Indefinido",13,"tipo_contrato",NA,NA
"4112",2017,"Término fijo",0,"tipo_contrato",NA,NA
"4112",2017,"Horas",46,"tipo_contrato",NA,NA
"4112",2017,"Ocasional",8,"tipo_contrato",NA,NA
"4112",2017,"AD Honorem",NA,"tipo_contrato",NA,NA
"4112",2017,"Sin Información",NA,"tipo_contrato",NA,NA
"4112",2018,"Término Indefinido",12,"tipo_contrato",NA,NA
"4112",2018,"Término fijo",0,"tipo_contrato",NA,NA
"4112",2018,"Horas",43,"tipo_contrato",NA,NA
"4112",2018,"Ocasional",15,"tipo_contrato",NA,NA
"4112",2018,"AD Honorem",NA,"tipo_contrato",NA,NA
"4112",2018,"Sin Información",NA,"tipo_contrato",NA,NA
"4112",2019,"Término Indefinido",13,"tipo_contrato",NA,NA
"4112",2019,"Término fijo",0,"tipo_contrato",NA,NA
"4112",2019,"Horas",39,"tipo_contrato",NA,NA
"4112",2019,"Ocasional",17,"tipo_contrato",NA,NA
"4112",2019,"AD Honorem",NA,"tipo_contrato",NA,NA
"4112",2019,"Sin Información",NA,"tipo_contrato",NA,NA
"4112",2020,"Término Indefinido",12,"tipo_contrato",NA,NA
"4112",2020,"Término fijo",0,"tipo_contrato",NA,NA
"4112",2020,"Horas",38,"tipo_contrato",NA,NA
"4112",2020,"Ocasional",15,"tipo_contrato",NA,NA
"4112",2020,"AD Honorem",NA,"tipo_contrato",NA,NA
"4112",2020,"Sin Información",NA,"tipo_contrato",NA,NA
"4112",2021,"Término Indefinido",11,"tipo_contrato",NA,NA
"4112",2021,"Término fijo",7,"tipo_contrato",NA,NA
"4112",2021,"Horas",43,"tipo_contrato",NA,NA
"4112",2021,"Ocasional",13,"tipo_contrato",NA,NA
"4112",2021,"AD Honorem",NA,"tipo_contrato",NA,NA
"4112",2021,"Sin Información",NA,"tipo_contrato",NA,NA
"4112",2022,"Término Indefinido",18,"tipo_contrato",NA,NA
"4112",2022,"Término fijo",0,"tipo_contrato",NA,NA
"4112",2022,"Horas",65,"tipo_contrato",NA,NA
"4112",2022,"Ocasional",13,"tipo_contrato",NA,NA
"4112",2022,"AD Honorem",NA,"tipo_contrato",NA,NA
"4112",2022,"Sin Información",NA,"tipo_contrato",NA,NA
"4112",2023,"Término Indefinido",18,"tipo_contrato",NA,NA
"4112",2023,"Término fijo",0,"tipo_contrato",NA,NA
"4112",2023,"Horas",45,"tipo_contrato",NA,NA
"4112",2023,"Ocasional",16,"tipo_contrato",NA,NA
"4112",2023,"AD Honorem",NA,"tipo_contrato",NA,NA
"4112",2023,"Sin Información",NA,"tipo_contrato",NA,NA
"2110",2017,"Término Indefinido",54,"tipo_contrato",NA,NA
"2110",2017,"Término fijo",NA,"tipo_contrato",NA,NA
"2110",2017,"Horas",250,"tipo_contrato",NA,NA
"2110",2017,"Ocasional",61,"tipo_contrato",NA,NA
"2110",2017,"AD Honorem",NA,"tipo_contrato",NA,NA
"2110",2017,"Sin Información",NA,"tipo_contrato",NA,NA
"2110",2018,"Término Indefinido",54,"tipo_contrato",NA,NA
"2110",2018,"Término fijo",NA,"tipo_contrato",NA,NA
"2110",2018,"Horas",256,"tipo_contrato",NA,NA
"2110",2018,"Ocasional",62,"tipo_contrato",NA,NA
"2110",2018,"AD Honorem",NA,"tipo_contrato",NA,NA
"2110",2018,"Sin Información",NA,"tipo_contrato",NA,NA
"2110",2019,"Término Indefinido",50,"tipo_contrato",NA,NA
"2110",2019,"Término fijo",NA,"tipo_contrato",NA,NA
"2110",2019,"Horas",330,"tipo_contrato",NA,NA
"2110",2019,"Ocasional",84,"tipo_contrato",NA,NA
"2110",2019,"AD Honorem",NA,"tipo_contrato",NA,NA
"2110",2019,"Sin Información",NA,"tipo_contrato",NA,NA
"2110",2020,"Término Indefinido",54,"tipo_contrato",NA,NA
"2110",2020,"Término fijo",NA,"tipo_contrato",NA,NA
"2110",2020,"Horas",326,"tipo_contrato",NA,NA
"2110",2020,"Ocasional",96,"tipo_contrato",NA,NA
"2110",2020,"AD Honorem",NA,"tipo_contrato",NA,NA
"2110",2020,"Sin Información",NA,"tipo_contrato",NA,NA
"2110",2021,"Término Indefinido",59,"tipo_contrato",NA,NA
"2110",2021,"Término fijo",NA,"tipo_contrato",NA,NA
"2110",2021,"Horas",341,"tipo_contrato",NA,NA
"2110",2021,"Ocasional",98,"tipo_contrato",NA,NA
"2110",2021,"AD Honorem",NA,"tipo_contrato",NA,NA
"2110",2021,"Sin Información",NA,"tipo_contrato",NA,NA
"2110",2022,"Término Indefinido",62,"tipo_contrato",NA,NA
"2110",2022,"Término fijo",NA,"tipo_contrato",NA,NA
"2110",2022,"Horas",411,"tipo_contrato",NA,NA
"2110",2022,"Ocasional",94,"tipo_contrato",NA,NA
"2110",2022,"AD Honorem",NA,"tipo_contrato",NA,NA
"2110",2022,"Sin Información",NA,"tipo_contrato",NA,NA
"2110",2023,"Término Indefinido",62,"tipo_contrato",NA,NA
"2110",2023,"Término fijo",NA,"tipo_contrato",NA,NA
"2110",2023,"Horas",326,"tipo_contrato",NA,NA
"2110",2023,"Ocasional",92,"tipo_contrato",NA,NA
"2110",2023,"AD Honorem",NA,"tipo_contrato",NA,NA
"2110",2023,"Sin Información",NA,"tipo_contrato",NA,NA
"1714",2017,"Término Indefinido",336,"tipo_contrato",NA,NA
"1714",2017,"Término fijo",156,"tipo_contrato",NA,NA
"1714",2017,"Horas",1154,"tipo_contrato",NA,NA
"1714",2017,"Ocasional",NA,"tipo_contrato",NA,NA
"1714",2017,"AD Honorem",NA,"tipo_contrato",NA,NA
"1714",2017,"Sin Información",NA,"tipo_contrato",NA,NA
"1714",2018,"Término Indefinido",516,"tipo_contrato",NA,NA
"1714",2018,"Término fijo",19,"tipo_contrato",NA,NA
"1714",2018,"Horas",1111,"tipo_contrato",NA,NA
"1714",2018,"Ocasional",NA,"tipo_contrato",NA,NA
"1714",2018,"AD Honorem",NA,"tipo_contrato",NA,NA
"1714",2018,"Sin Información",NA,"tipo_contrato",NA,NA
"1714",2019,"Término Indefinido",361,"tipo_contrato",NA,NA
"1714",2019,"Término fijo",189,"tipo_contrato",NA,NA
"1714",2019,"Horas",1093,"tipo_contrato",NA,NA
"1714",2019,"Ocasional",NA,"tipo_contrato",NA,NA
"1714",2019,"AD Honorem",NA,"tipo_contrato",NA,NA
"1714",2019,"Sin Información",NA,"tipo_contrato",NA,NA
"1714",2020,"Término Indefinido",373,"tipo_contrato",NA,NA
"1714",2020,"Término fijo",1364,"tipo_contrato",NA,NA
"1714",2020,"Horas",0,"tipo_contrato",NA,NA
"1714",2020,"Ocasional",NA,"tipo_contrato",NA,NA
"1714",2020,"AD Honorem",NA,"tipo_contrato",NA,NA
"1714",2020,"Sin Información",NA,"tipo_contrato",NA,NA
"1714",2021,"Término Indefinido",390,"tipo_contrato",NA,NA
"1714",2021,"Término fijo",230,"tipo_contrato",NA,NA
"1714",2021,"Horas",1235,"tipo_contrato",NA,NA
"1714",2021,"Ocasional",NA,"tipo_contrato",NA,NA
"1714",2021,"AD Honorem",NA,"tipo_contrato",NA,NA
"1714",2021,"Sin Información",NA,"tipo_contrato",NA,NA
"1714",2022,"Término Indefinido",395,"tipo_contrato",NA,NA
"1714",2022,"Término fijo",232,"tipo_contrato",NA,NA
"1714",2022,"Horas",1321,"tipo_contrato",NA,NA
"1714",2022,"Ocasional",NA,"tipo_contrato",NA,NA
"1714",2022,"AD Honorem",NA,"tipo_contrato",NA,NA
"1714",2022,"Sin Información",NA,"tipo_contrato",NA,NA
"1714",2023,"Término Indefinido",385,"tipo_contrato",NA,NA
"1714",2023,"Término fijo",235,"tipo_contrato",NA,NA
"1714",2023,"Horas",1462,"tipo_contrato",NA,NA
"1714",2023,"Ocasional",NA,"tipo_contrato",NA,NA
"1714",2023,"AD Honorem",NA,"tipo_contrato",NA,NA
"1714",2023,"Sin Información",NA,"tipo_contrato",NA,NA
"3104",2017,"Término Indefinido",17,"tipo_contrato",NA,NA
"3104",2017,"Término fijo",0,"tipo_contrato",NA,NA
"3104",2017,"Horas",128,"tipo_contrato",NA,NA
"3104",2017,"Ocasional",35,"tipo_contrato",NA,NA
"3104",2017,"AD Honorem",NA,"tipo_contrato",NA,NA
"3104",2017,"Sin Información",NA,"tipo_contrato",NA,NA
"3104",2018,"Término Indefinido",17,"tipo_contrato",NA,NA
"3104",2018,"Término fijo",0,"tipo_contrato",NA,NA
"3104",2018,"Horas",115,"tipo_contrato",NA,NA
"3104",2018,"Ocasional",30,"tipo_contrato",NA,NA
"3104",2018,"AD Honorem",NA,"tipo_contrato",NA,NA
"3104",2018,"Sin Información",NA,"tipo_contrato",NA,NA
"3104",2019,"Término Indefinido",17,"tipo_contrato",NA,NA
"3104",2019,"Término fijo",0,"tipo_contrato",NA,NA
"3104",2019,"Horas",114,"tipo_contrato",NA,NA
"3104",2019,"Ocasional",39,"tipo_contrato",NA,NA
